,sm,sm_noise,dir,ssf,sat_id,proc_flag,corr_flag,conf_flag,slope40,slope40_noise,curvature40,curvature40_noise,sigma40,sigma40_noise,snow_prob,frozen_prob,abs_sm_gldas,abs_sm_noise_gldas,abs_sm_hwsd,abs_sm_noise_hwsd,vod,distance,soil_moisture,soil_moisture_flag,soil_moisture_orig_flag,index
2010-12-12 20:49:48.750006,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-13 09:03:35.624016,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-15 19:47:39.374016,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-08 19:51:13.125019,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-16 09:00:16.874984,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-18 19:44:22.500008,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-29 20:56:56.250000,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-30 20:36:07.499984,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-02 19:34:05.624980,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-06 10:05:52.499020,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-13 20:46:31.873987,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-18 20:43:03.749990,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-21 19:40:58.125016,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-23 20:39:35.624987,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-24 08:53:24.374988,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-28 20:36:07.499984,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-10 09:03:44.999986,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-12 10:02:24.374983,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-12 19:47:48.749986,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-14 20:46:28.124983,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-17 19:44:20.624984,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-19 20:42:59.999980,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-21 10:16:05.623998,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-22 19:40:54.375006,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-25 08:53:18.749993,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-27 19:37:26.250003,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-01 19:33:59.999020,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-02 20:53:20.624013,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-04 08:46:20.625003,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-05 19:51:13.125019,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-10 19:47:48.749986,0.0,5.15,0.0,1.0,3.0,0.0,1.0,0.0,-0.07403478,0.00093076803,-0.0012361152,0.00010285672,-9.240001,0.091000006,0.0,0.0,,,,,0.59675276,0.008463541828703704,0.32,G,M,2011-04-10 20:00:00
2011-04-12 20:46:30.000008,13.95,5.14,0.0,1.0,3.0,0.0,0.0,0.0,-0.072792076,0.0009314524,-0.0012798304,0.00010278698,-8.863001,0.093,0.0,0.0,,,,,0.6026392,0.009374999907407408,0.315,G,M,2011-04-12 21:00:00
2011-04-15 09:58:59.998984,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-15 19:44:24.374993,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-17 20:43:03.748984,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-20 19:41:00.000001,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-23 08:53:24.374988,1.1999999,5.73,1.0,1.0,3.0,0.0,0.0,0.0,-0.068827935,0.0008850279,-0.0014344774,9.8881545e-05,-8.937,0.095000006,0.0,0.0,,,,,0.6227347,0.004578993194444445,0.254,G,M,2011-04-23 09:00:00
2011-04-25 19:37:33.749017,0.0,5.87,0.0,1.0,3.0,0.0,1.0,0.0,-0.068613455,0.0008810627,-0.0014576974,9.866894e-05,-9.119,0.094000004,0.0,0.0,,,,,0.6243179,0.015581608599537037,0.235,G,M,2011-04-25 20:00:00
2011-04-30 19:34:09.373984,0.0,6.0299997,0.0,1.0,3.0,0.0,1.0,0.0,-0.06898702,0.0008709197,-0.0014913103,9.8599434e-05,-9.209001,0.096,0.0,0.0,,,,,0.6238222,0.01794706037037037,0.234,G,M,2011-04-30 20:00:00
2011-05-02 09:07:18.749984,0.0,5.67,1.0,1.0,3.0,0.0,1.0,0.0,-0.06929231,0.0008683569,-0.0015086356,9.839664e-05,-9.17,0.089,0.0,0.0,,,,,0.623108,-0.005078124814814814,0.249,G,M,2011-05-02 09:00:00
2011-05-04 19:51:18.750014,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-05 19:30:43.125012,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-07 09:03:48.749996,0.0,5.62,1.0,1.0,3.0,0.0,1.0,0.0,-0.0702536,0.00086886017,-0.0015690438,9.76314e-05,-8.975,0.091000006,0.0,0.0,,,,,0.6210481,-0.0026475693981481484,0.247,G,M,2011-05-07 09:00:00
2011-05-09 19:47:52.499996,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-10 19:27:16.873988,0.0,6.1,0.0,1.0,3.0,0.0,1.0,0.0,-0.07084411,0.00086452963,-0.0016195297,9.722075e-05,-8.966001,0.101,0.0,0.0,,,,,0.6201941,-0.018945300787037038,0.235,G,M,2011-05-10 19:00:00
2011-05-14 09:58:59.998984,12.53,5.48,1.0,1.0,3.0,0.0,0.0,0.0,-0.07155654,0.00086254976,-0.0016554553,9.728188e-05,-8.711,0.091000006,0.0,0.0,,,,,0.61841524,0.0006944562037037037,0.316,G,M,2011-05-14 10:00:00
2011-05-16 20:43:01.875004,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-17 08:56:48.749981,1.0,5.81,1.0,1.0,3.0,0.0,0.0,0.0,-0.07201923,0.00086908706,-0.0016759065,9.7572716e-05,-8.929001,0.095000006,0.0,0.0,,,,,0.6171801,0.002213541886574074,0.376,G,M,2011-05-17 09:00:00
2011-05-19 09:55:31.873981,3.11,5.52,1.0,1.0,3.0,0.0,0.0,0.0,-0.072242744,0.0008689089,-0.0016769607,9.762781e-05,-8.896001,0.09,0.0,0.0,,,,,0.6163224,0.0031033104050925925,0.318,G,M,2011-05-19 10:00:00
2011-05-19 19:40:56.249990,1.99,5.7599998,0.0,1.0,3.0,0.0,0.0,0.0,-0.072242744,0.0008689089,-0.0016769607,9.762781e-05,-8.917001,0.095000006,0.0,0.0,,,,,0.6163224,0.013237847337962964,0.318,G,M,2011-05-19 20:00:00
2011-05-20 21:00:20.624993,27.18,5.8199997,0.0,1.0,3.0,0.0,0.0,0.0,-0.07234007,0.0008704938,-0.001682043,9.789265e-05,-8.449,0.101,0.0,0.0,,,,,0.6160873,-0.00023871519675925927,0.359,G,M,2011-05-20 21:00:00
2011-05-25 20:56:50.625006,3.9099998,5.99,0.0,1.0,3.0,0.0,0.0,0.0,-0.07291323,0.00087651296,-0.0016971943,9.912577e-05,-8.892,0.1,0.0,0.0,,,,,0.6142687,0.0021918402083333332,0.318,G,M,2011-05-25 21:00:00
2011-05-26 09:10:37.499982,10.809999,5.3399997,1.0,1.0,3.0,0.0,0.0,0.0,-0.07298447,0.00087298977,-0.0017036849,9.8975586e-05,-8.7630005,0.08800001,0.0,0.0,,,,,0.6141797,-0.007378472013888889,0.294,G,M,2011-05-26 09:00:00
2011-05-27 08:49:48.750006,35.059998,5.65,1.0,1.0,3.0,0.0,0.0,0.0,-0.07308829,0.0008730588,-0.0017103172,9.8854965e-05,-8.311001,0.09900001,0.0,0.0,,,,,0.61396676,0.007074652708333334,0.348,G,M,2011-05-27 09:00:00
2011-05-31 09:07:05.625009,7.58,5.46,1.0,1.0,3.0,0.0,0.0,0.0,-0.073320806,0.00087240676,-0.0017175926,9.820455e-05,-8.827001,0.09,0.0,0.0,,,,,0.6132661,-0.004926215381944444,0.318,G,M,2011-05-31 09:00:00
2011-06-02 19:51:07.499984,26.41,5.22,0.0,1.0,3.0,0.0,0.0,0.0,-0.07332328,0.00087102136,-0.0017130245,9.779076e-05,-8.477,0.09,0.0,0.0,,,,,0.61312217,0.00616319462962963,0.399,G,M,2011-06-02 20:00:00
2011-06-03 19:30:29.999998,6.19,5.96,0.0,1.0,3.0,0.0,0.0,0.0,-0.073295,0.00087163417,-0.0017110923,9.786564e-05,-8.8550005,0.1,0.0,0.0,,,,,0.6131761,0.020486111134259258,0.41,G,M,2011-06-03 20:00:00
2011-06-07 10:02:13.124993,4.72,5.6299996,1.0,1.0,3.0,0.0,0.0,0.0,-0.07322934,0.0008657929,-0.0016906334,9.720972e-05,-8.889001,0.094000004,0.0,0.0,,,,,0.6128313,-0.0015407985300925926,0.389,G,M,2011-06-07 10:00:00
2011-06-07 19:47:37.498991,11.99,5.44,0.0,1.0,3.0,0.0,0.0,0.0,-0.07322934,0.0008657929,-0.0016906334,9.720972e-05,-8.753,0.09200001,0.0,0.0,,,,,0.6128313,0.008593761678240741,0.368,G,M,2011-06-07 20:00:00
2011-06-08 19:27:00.000010,19.49,5.8599997,0.0,1.0,3.0,0.0,0.0,0.0,-0.073254734,0.0008646006,-0.0016875953,9.6986114e-05,-8.614,0.102000006,0.0,0.0,,,,,0.61264265,-0.01875000011574074,0.383,G,M,2011-06-08 19:00:00
